belief_responsiveness,contagion_rate,hallucination_rows,label,n_perception_updates,partner_loc_accuracy,partner_loc_claims,perception_grounding_rate,perception_grounding_strict,perception_net_grounding,perception_specificity,quarantined,responsiveness_n,run,seed
0.8039,0.0707,198,Gemma-E4B+Central Orch.,1235,0.7854,4659,0.8397,0.0883,-0.0721,0.1717,False,1800,new_exp_0_gemma_orch_villager_advisory/seed_1011,1011
0.8132,0.12,200,Gemma-E4B+Central Orch.,1264,0.8051,4797,0.8418,0.1171,-0.0411,0.2025,False,1799,new_exp_0_gemma_orch_villager_advisory/seed_1213,1213
0.8688,0.1382,217,Gemma-E4B+Central Orch.,1589,0.7077,6282,0.8634,0.061,-0.0755,0.1441,False,1799,new_exp_0_gemma_orch_villager_advisory/seed_123,123
0.8399,0.0972,216,Gemma-E4B+Central Orch.,1255,0.7305,4869,0.8279,0.0749,-0.0972,0.1721,False,1799,new_exp_0_gemma_orch_villager_advisory/seed_42,42
0.8227,0.0704,199,Gemma-E4B+Central Orch.,1243,0.7824,4728,0.8399,0.0965,-0.0636,0.181,False,1799,new_exp_0_gemma_orch_villager_advisory/seed_456,456
0.8478,0.075,200,Gemma-E4B+Central Orch.,1286,0.7518,5335,0.8445,0.1058,-0.0498,0.1835,False,1800,new_exp_0_gemma_orch_villager_advisory/seed_789,789
