condition,n_runs,n_eps,coop_mean,coop_std,coop_seedmean,coop_seedstd,allms_mean,allms_std,task_mean,task_std,task_is_decomposed,furthest_mode,boss_defeats,M8_median,M8_n,M15_median,M15_n,M18_median,M18_n,M23_median,M23_n,gini_mean,gini_std,excl_mean,excl_std,bond_mean,bond_max,sparsity,asymmetry
No-bonds,2,6,2.6666666666666665,1.1055415967851332,2.666666666666667,0.33333333333333326,11.333333333333334,1.7950549357115013,821.0275957420572,229.67478864927617,True,3,0,,0,850,1,,0,,0,0.03146817580751056,0.0019696507337642437,0.3217789737472374,0.003194902950777234,0.0,0.0,1.0,0.0
Allied-pair,2,6,2.8333333333333335,1.0671873729054748,2.8333333333333335,0.5,11.833333333333334,0.6871842709362768,644.2271776591489,123.69466060906511,True,4,0,,0,,0,,0,,0,0.03627934300253241,0.017321997030968428,0.3210840934530472,0.029626807020886436,0.2666666805744171,0.800000011920929,0.6666666666666666,0.0
Allied-all,2,6,3.0,1.1547005383792515,3.0,0.0,11.833333333333334,1.5723301886761005,795.8888454402963,222.29404259146284,True,4,0,493,1,1117,1,,0,,0,0.06653271665782093,0.02521040260823415,0.26901837389743977,0.024370055854626357,0.800000011920929,0.800000011920929,0.0,0.0
