belief_responsiveness,contagion_rate,hallucination_rows,label,n_perception_updates,partner_loc_accuracy,partner_loc_claims,perception_grounding_rate,quarantined,responsiveness_n,run,seed
0.8628,0.4323,192,Allied-pair,1193,0.7619,4284,0.8391,False,1800,exp10_llm_9b_allied_pair/seed_1011,1011
0.8622,0.4809,183,Allied-pair,1198,0.7155,4425,0.8472,False,1800,exp10_llm_9b_allied_pair/seed_1213,1213
0.8767,0.4649,185,Allied-pair,1097,0.7929,4134,0.8314,False,1800,exp10_llm_9b_allied_pair/seed_123,123
0.8565,0.5697,165,Allied-pair,949,0.7661,3659,0.8261,False,1798,exp10_llm_9b_allied_pair/seed_42,42
0.8906,0.5824,170,Allied-pair,976,0.745,4055,0.8258,False,1800,exp10_llm_9b_allied_pair/seed_456,456
0.8717,0.54,200,Allied-pair,1129,0.7713,4398,0.8229,False,1800,exp10_llm_9b_allied_pair/seed_789,789
0.8744,0.4433,194,Allied-all,1188,0.7622,3885,0.8367,False,1800,exp09_llm_9b_allied_all/seed_1011,1011
0.8706,0.4696,181,Allied-all,1141,0.7139,4617,0.8414,False,1800,exp09_llm_9b_allied_all/seed_1213,1213
0.8767,0.5256,215,Allied-all,1161,0.7596,4202,0.8148,False,1800,exp09_llm_9b_allied_all/seed_123,123
0.8538,0.598,204,Allied-all,1109,0.7535,4228,0.8161,False,1799,exp09_llm_9b_allied_all/seed_42,42
0.8817,0.5351,185,Allied-all,960,0.7526,4067,0.8073,False,1800,exp09_llm_9b_allied_all/seed_456,456
0.8672,0.4674,184,Allied-all,1164,0.7175,4567,0.8419,False,1800,exp09_llm_9b_allied_all/seed_789,789
