condition,n_runs,n_eps,coop_pct_mean,coop_pct_std,coop_ci_pct_mean,coop_ci_pct_std,allms_nocomm_pct_mean,allms_nocomm_pct_std,task_nocomm_mean,task_nocomm_std,bond_mean,bond_max,sparsity,asymmetry,act_communicate_mean,act_observe_mean,act_imitate_mean,act_none_mean,dW_spat_mean,dW_comm_mean,dW_obs_mean,dW_imit_mean,imit_adoption_rate_mean,adopted_reward_mean_mean,nonadopted_reward_mean_mean,cofire_pair_events_mean
prc,3,9,7.84313725490196,5.54593553871802,11.11111111111111,3.9283710065919304,15.555555555555554,7.410369778014696,255.26545453898427,126.81998401828456,0.20573773152298397,0.2739632974068324,0.14814814814814814,0.005598741273085277,0.8405721846698443,0.0,0.0,0.1594278153301556,0.3481055367214383,0.651894467076836,0.0,0.0,nan,nan,nan,11060.666666666666
pro,3,9,15.68627450980392,2.77296776935901,8.333333333333332,5.892556509887896,24.0,3.7712361663282534,358.21583970591166,125.62069410536628,0.09196003360880746,0.16195100877020094,0.537037037037037,0.0414664125483897,0.0,0.3575453921519321,0.0,0.6424546078480678,0.15926665793978947,0.0,0.8407333327310414,0.0,nan,nan,nan,3185.0
pri,3,9,10.457516339869281,7.219190207311935,8.333333333333332,5.892556509887896,19.11111111111111,6.999118110232721,247.84257254114195,112.91490331054796,0.014970582495960925,0.037365718434254326,1.0,0.012063898213202466,0.0,0.0,0.14125992397422527,0.7928020473915539,0.11319729181665152,0.0,0.0,0.8868026900431393,nan,nan,nan,546.3333333333334
prcoi,3,9,10.457516339869281,7.219190207311935,8.333333333333332,5.892556509887896,17.77777777777778,8.243216440440625,272.419749148346,77.01442444994437,0.21380667057302263,0.2915124131573571,0.18518518518518517,0.004265137430694368,0.8310887643584345,0.012026138766669586,0.00030797595720581065,0.15616321363292193,0.3340529522749664,0.6538121881380522,0.011763618830517403,0.00037125567064387764,nan,nan,nan,10686.333333333334
anchor,3,9,13.725490196078432,3.92156862745098,6.944444444444445,6.211299937499415,22.66666666666667,5.656854249492381,326.5741995366651,123.79450996288298,0.2369413955344094,0.2855287343263626,0.0,0.0019122781576933682,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
null (pr),3,9,12.418300653594772,3.3326924925443038,4.166666666666666,5.892556509887896,22.22222222222222,1.987615979999813,362.5375645013816,113.66887912247323,0.00054740755783595,0.001546124288482689,1.0,0.000369267147379891,0.0,0.0,0.0,1.0,1.0000000268240106,0.0,0.0,0.0,nan,nan,nan,4.0
